Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
34701.00 1360.06 100.138985 0.000000 58.960635 11.748921 14.870591 13.368322 0.000000 0.000000 1.190516 
34601.00 1359.85 100.138985 0.000000 58.958290 11.727000 14.886595 13.374083 0.000000 0.000000 1.193016 
34501.00 1359.64 100.138985 0.000000 58.955912 11.704863 14.902747 13.379912 0.000000 0.000000 1.195551 
34401.00 1359.43 100.138985 0.000000 58.953499 11.682506 14.919047 13.385811 0.000000 0.000000 1.198123 
34301.00 1359.22 100.138985 0.000000 58.951051 11.659925 14.935498 13.391779 0.000000 0.000000 1.200732 
34201.00 1359.00 100.138985 0.000000 58.948567 11.637118 14.952103 13.397819 0.000000 0.000000 1.203378 
34101.00 1358.79 100.138985 0.000000 58.946047 11.614081 14.968863 13.403930 0.000000 0.000000 1.206063 
34001.00 1358.58 100.138985 0.000000 58.943490 11.590810 14.985782 13.410115 0.000000 0.000000 1.208787 
33901.00 1358.37 100.138985 0.000000 58.940895 11.567303 15.002862 13.416374 0.000000 0.000000 1.211551 
33801.00 1358.15 100.138985 0.000000 58.938261 11.543554 15.020106 13.422707 0.000000 0.000000 1.214357 
33701.00 1357.94 100.138985 0.000000 58.935587 11.519561 15.037515 13.429118 0.000000 0.000000 1.217203 
33601.00 1357.73 100.138985 0.000000 58.932874 11.495320 15.055093 13.435605 0.000000 0.000000 1.220093 
33501.00 1357.52 100.138985 0.000000 58.930119 11.470826 15.072843 13.442171 0.000000 0.000000 1.223026 
33401.00 1357.30 100.138985 0.000000 58.927322 11.446077 15.090767 13.448816 0.000000 0.000000 1.226003 
33301.00 1357.09 100.138985 0.000000 58.924482 11.421067 15.108868 13.455542 0.000000 0.000000 1.229026 
33201.00 1356.88 100.138985 0.000000 58.921598 11.395792 15.127149 13.462350 0.000000 0.000000 1.232095 
33101.00 1356.66 100.138985 0.000000 58.918669 11.370249 15.145613 13.469241 0.000000 0.000000 1.235212 
33001.00 1356.45 100.138985 0.000000 58.915695 11.344433 15.164264 13.476217 0.000000 0.000000 1.238376 
32901.00 1356.24 100.138985 0.000000 58.912674 11.318340 15.183103 13.483278 0.000000 0.000000 1.241590 
32801.00 1356.02 100.138985 0.000000 58.909605 11.291964 15.202135 13.490426 0.000000 0.000000 1.244854 
32701.00 1355.81 100.138985 0.000000 58.906488 11.265302 15.221363 13.497662 0.000000 0.000000 1.248170 
32601.00 1355.59 100.138985 0.000000 58.903320 11.238349 15.240790 13.504988 0.000000 0.000000 1.251538 
32501.00 1355.38 100.138985 0.000000 58.900102 11.211099 15.260419 13.512404 0.000000 0.000000 1.254960 
32401.00 1355.16 100.138985 0.000000 58.896832 11.183548 15.280255 13.519913 0.000000 0.000000 1.258437 
32301.00 1354.95 100.138985 0.000000 58.893509 11.155691 15.300300 13.527516 0.000000 0.000000 1.261969 
32201.00 1354.73 100.138985 0.000000 58.890131 11.127523 15.320558 13.535214 0.000000 0.000000 1.265559 
