Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
20801.00 1448.59 1.044505 3.056978 -11502.893340 0.354498 1.640780 0.408 43.4733 0.895994 13.4374 0.324906 0.180422 10.7427 0.0382544 17.6515 0.0235544 7.38209 5.8499
20701.00 1448.16 1.044466 3.055903 -11511.031719 0.354608 1.640788 0.414 43.5086 0.895268 13.4589 0.327195 0.179137 10.7175 0.0379168 17.6282 0.0233392 7.42653 5.79742
20601.00 1447.73 1.044430 3.054830 -11519.208612 0.354718 1.640800 0.420 43.5439 0.894528 13.4803 0.329512 0.177846 10.6923 0.0375801 17.6049 0.0231247 7.47135 5.74464
20501.00 1447.30 1.044399 3.053760 -11527.425418 0.354829 1.640816 0.425 43.5793 0.893774 13.5015 0.331857 0.17655 10.6672 0.0372445 17.5815 0.0229109 7.51654 5.69159
20401.00 1446.87 1.044371 3.052693 -11535.683602 0.354941 1.640837 0.431 43.6146 0.893006 13.5226 0.334231 0.175247 10.6422 0.0369099 17.5581 0.0226978 7.56209 5.63826
20301.00 1446.44 1.044347 3.051631 -11543.984691 0.355054 1.640862 0.437 43.65 0.892223 13.5436 0.336633 0.173939 10.6172 0.0365763 17.5347 0.0224855 7.60803 5.58464
20201.00 1446.00 1.044327 3.050572 -11552.330274 0.355168 1.640892 0.443 43.6853 0.891425 13.5644 0.339065 0.172626 10.5923 0.0362437 17.5113 0.022274 7.65433 5.53076
20101.00 1445.57 1.044312 3.049519 -11560.722015 0.355284 1.640928 0.449 43.7207 0.890613 13.5851 0.341525 0.171307 10.5674 0.0359122 17.4878 0.0220632 7.70102 5.4766
20001.00 1445.13 1.044301 3.048470 -11569.161632 0.355400 1.640969 0.455 43.756 0.889784 13.6057 0.344015 0.169984 10.5425 0.0355818 17.4643 0.0218531 7.74809 5.42218
19901.00 1444.69 1.044294 3.047427 -11577.650932 0.355518 1.641015 0.461 43.7914 0.88894 13.6261 0.346535 0.168656 10.5178 0.0352524 17.4408 0.0216438 7.79554 5.36749
19801.00 1444.25 1.044292 3.046389 -11586.191791 0.355636 1.641067 0.467 43.8267 0.88808 13.6463 0.349084 0.167324 10.493 0.0349242 17.4172 0.0214353 7.84338 5.31255
19701.00 1443.80 1.044296 3.045358 -11594.786164 0.355757 1.641126 0.473 43.862 0.887203 13.6665 0.351664 0.165988 10.4683 0.034597 17.3936 0.0212276 7.8916 5.25734
19601.00 1443.36 1.044304 3.044334 -11603.436090 0.355878 1.641191 0.479 43.8973 0.886308 13.6864 0.354273 0.164649 10.4437 0.034271 17.3699 0.0210207 7.94022 5.20189
19501.00 1442.91 1.044317 3.043317 -11612.143693 0.356001 1.641262 0.485 43.9326 0.885397 13.7063 0.356913 0.163306 10.4191 0.0339461 17.3463 0.0208146 7.98922 5.14619
19401.00 1442.46 1.044336 3.042307 -11620.911186 0.356126 1.641341 0.491 43.9679 0.884467 13.726 0.359584 0.161959 10.3945 0.0336224 17.3225 0.0206093 8.03862 5.09024
19301.00 1442.01 1.044361 3.041306 -11629.740878 0.356252 1.641427 0.497 44.0032 0.883519 13.7455 0.362285 0.16061 10.37 0.0332999 17.2987 0.0204049 8.08841 5.03406
19201.00 1441.56 1.044391 3.040314 -11638.635174 0.356380 1.641520 0.503 44.0384 0.882553 13.7649 0.365017 0.159258 10.3455 0.0329785 17.2749 0.0202012 8.13859 4.97764
19101.00 1441.10 1.044428 3.039331 -11647.596579 0.356509 1.641621 0.509 44.0737 0.881566 13.7842 0.367779 0.157903 10.3211 0.0326584 17.251 0.0199984 8.18917 4.92099
