Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
601.00 1162.42 1.098086 2.833464 -14374.296779 0.422537 1.666097 3.746 57.8969 0.446544 16.7986 0.677266 0.0518184 3.3733 0.00199143 7.37697 0.000982011 13.3649 0.0106814
501.00 1161.53 1.076572 2.777340 -14099.168312 0.414735 1.632892 3.770 58.0863 0.436951 16.6679 0.6785 0.0523304 3.35048 0.00200442 7.35788 0.000987442 13.3578 0.00888646
401.00 1160.70 1.056223 2.724322 -13838.774498 0.407364 1.601474 3.794 58.2774 0.427788 16.5325 0.679455 0.0527894 3.32891 0.00202046 7.34048 0.000994408 13.3501 0.00745267
301.00 1159.91 1.037150 2.674679 -13594.594100 0.400469 1.572009 3.816 58.4701 0.419052 16.3928 0.680168 0.0531948 3.30858 0.00203948 7.32477 0.00100287 13.342 0.00630045
201.00 1159.16 1.019405 2.628540 -13367.377586 0.394071 1.544576 3.839 58.664 0.41073 16.2489 0.680668 0.0535469 3.28946 0.00206144 7.31076 0.0010128 13.3335 0.00536841
101.00 1158.45 1.002996 2.585915 -13157.274031 0.388175 1.519188 3.861 58.8591 0.402805 16.1009 0.680982 0.0538471 3.27152 0.0020863 7.29845 0.00102418 13.3246 0.00460928
1.00 1157.78 0.987897 2.546725 -12963.963291 0.382773 1.495799 3.882 59.0553 0.395255 15.9492 0.681137 0.0540968 3.25474 0.00211401 7.28782 0.00103697 13.3153 0.00398656

feldspar_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
5601.00 1216.57 1.859899 4.640537 -25177.733426 0.703685 2.300652 K0.00Na0.44Ca0.56Al1.56Si2.44O8 54.1324 0 29.2811 0 0 0 0 0 0 11.5262 5.0603
5501.00 1215.90 1.822068 4.542371 -24677.869728 0.688962 2.253452 K0.00Na0.43Ca0.57Al1.57Si2.43O8 53.8795 0 29.4515 0 0 0 0 0 0 11.7257 4.94332
5401.00 1215.20 1.780567 4.435096 -24127.910997 0.672860 2.201717 K-0.0Na0.42Ca0.58Al1.58Si2.42O8 53.6224 0 29.6247 0 0 0 0 0 0 11.9286 4.82438
5301.00 1214.46 1.735925 4.320062 -23534.942397 0.655582 2.146106 K-0.0Na0.41Ca0.59Al1.59Si2.41O8 53.3613 0 29.8005 0 0 0 0 0 0 12.1346 4.70359
5201.00 1213.69 1.688660 4.198591 -22905.906312 0.637326 2.087263 K0.00Na0.40Ca0.60Al1.60Si2.40O8 53.0965 0 29.9789 0 0 0 0 0 0 12.3435 4.58112
5101.00 1212.89 1.639262 4.071931 -22247.386036 0.618282 2.025797 K0.00Na0.39Ca0.61Al1.61Si2.39O8 52.8285 0 30.1594 0 0 0 0 0 0 12.555 4.45713
5001.00 1212.05 1.588054 3.940906 -21563.688747 0.598573 1.962107 K0.00Na0.38Ca0.62Al1.62Si2.38O8 52.5575 0 30.3419 0 0 0 0 0 0 12.7688 4.33177
4901.00 1211.18 1.532038 3.798090 -20814.102424 0.577067 1.892495 K0.00Na0.37Ca0.63Al1.63Si2.37O8 52.2804 0 30.5286 0 0 0 0 0 0 12.9875 4.20357
4801.00 1210.30 1.471558 3.644376 -20003.150207 0.553899 1.817386 K0.00Na0.36Ca0.64Al1.64Si2.36O8 51.997 0 30.7194 0 0 0 0 0 0 13.2111 4.07248
4701.00 1209.38 1.406955 3.480658 -19135.370683 0.529201 1.737208 K0.00Na0.35Ca0.65Al1.65Si2.35O8 51.7073 0 30.9146 0 0 0 0 0 0 13.4396 3.93847
4601.00 1208.45 1.338574 3.307833 -18215.337472 0.503107 1.652392 K0.00Na0.33Ca0.67Al1.67Si2.33O8 51.4112 0 31.114 0 0 0 0 0 0 13.6733 3.80151
4501.00 1207.49 1.266761 3.126808 -17247.682147 0.475753 1.563370 K0.00Na0.32Ca0.68Al1.68Si2.32O8 51.1088 0 31.3177 0 0 0 0 0 0 13.9119 3.6616
4401.00 1206.51 1.191871 2.938499 -16237.120324 0.447277 1.470585 K0.00Na0.31Ca0.69Al1.69Si2.31O8 50.8001 0 31.5257 0 0 0 0 0 0 14.1555 3.51878
4301.00 1205.51 1.114265 2.743842 -15188.480328 0.417817 1.374486 K-0.0Na0.30Ca0.70Al1.70Si2.30O8 50.4851 0 31.7378 0 0 0 0 0 0 14.404 3.37307
4201.00 1204.50 1.034313 2.543792 -14106.733141 0.387518 1.275535 K0.00Na0.28Ca0.72Al1.72Si2.28O8 50.1641 0 31.954 0 0 0 0 0 0 14.6573 3.22458
4101.00 1203.47 0.952397 2.339332 -12997.021561 0.356526 1.174207 K0.00Na0.27Ca0.73Al1.73Si2.27O8 49.8374 0 32.1741 0 0 0 0 0 0 14.9151 3.07343
4001.00 1202.42 0.868915 2.131474 -11864.685155 0.324995 1.070996 K0.00Na0.26Ca0.74Al1.74Si2.26O8 49.5052 0 32.3978 0 0 0 0 0 0 15.1772 2.91979
3901.00 1201.37 0.784276 1.921262 -10715.276068 0.293080 0.966410 K0.00Na0.24Ca0.76Al1.76Si2.24O8 49.1683 0 32.6248 0 0 0 0 0 0 15.443 2.7639
3801.00 1200.30 0.698907 1.709770 -9554.559060 0.260945 0.860977 K0.00Na0.23Ca0.77Al1.77Si2.23O8 48.8271 0 32.8546 0 0 0 0 0 0 15.7123 2.60606
3701.00 1199.22 0.613244 1.498096 -8388.487010 0.228754 0.755239 K-0.0Na0.22Ca0.78Al1.78Si2.22O8 48.4825 0 33.0867 0 0 0 0 0 0 15.9842 2.44664
3601.00 1198.13 0.527735 1.287355 -7223.141734 0.196677 0.649747 K0.00Na0.20Ca0.80Al1.80Si2.20O8 48.1354 0 33.3205 0 0 0 0 0 0 16.258 2.28611
3501.00 1197.03 0.442826 1.078650 -6064.628833 0.164881 0.545052 K0.00Na0.19Ca0.81Al1.81Si2.19O8 47.7872 0 33.555 0 0 0 0 0 0 16.5328 2.125
3401.00 1195.93 0.358953 0.873053 -4918.916062 0.133528 0.441690 K0.00Na0.17Ca0.83Al1.83Si2.17O8 47.439 0 33.7896 0 0 0 0 0 0 16.8075 1.96394
3301.00 1194.82 0.276522 0.671555 -3791.607266 0.102770 0.340162 K0.00Na0.16Ca0.84Al1.84Si2.16O8 47.0925 0 34.023 0 0 0 0 0 0 17.0809 1.80364
3201.00 1193.71 0.195893 0.475022 -2687.649200 0.072737 0.240908 K0.00Na0.15Ca0.85Al1.85Si2.15O8 46.7494 0 34.2541 0 0 0 0 0 0 17.3517 1.6449
